Name of College,Type,State,Population Density,Enrollment,Asian,African American,Caucasian,Hispanic,Native American,Pacific Islander,Graduate in 4 years,Graduate in 6 years,Average high school GPA,SAT Math Range,SAT English Reading Wrting,ACT Range,English Units,Math Units,Science Units,Science Lab Units,World Language Units,Social Studies Units,Applicants,Admissions Rate,Enrollment Rate,Accepts Common App,"Early Decision, Admit, Priority",Early Due Date,Regular Due Date,Annual Tuition,Room and Board,Requires CSS,Average Cumulative Debt,PLUS Debt Ratio,Net Present Value (10 Years)
Georgia Institute of Technology,,Georgia,3547,14812,20.00%,7%,49%,7%,1%,1%,39%,85%,4.00,790,730,30-34,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry",2,3,31497,23%,39%,Yes,Admit,10/15/2025,1/1/2025,$30604,$14126,Yes,$32169,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$246000
Gettysburg College,,Pennsylvania,4598,2405,2.00%,4%,75%,8%,1%,0%,79%,84%,3.80,700,710,26-30,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",3,3,6384,46%,25%,Yes,Decision,11/15/2025,1/15/2025,$52640,$12570,Yes,$31169,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$84000
Gonzaga University,,Washington,3157,5125,5.00%,1%,72%,11%,1%,1%,78%,87%,3.80,680,670,26-30,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",2,2,7613,65%,25%,Yes,Priority,12/1/2025,,$40540,$11550,No,$30700,,$68000
Gordon College,,Massachusetts,600,1573,5.00%,6%,68%,8%,1%,1%,61%,70%,3.60,640,650,22-29,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,2924,89%,16%,No,Admit,11/1/2025,2/1/2025,$35800,$11070,No,$36557,,$35000
Grace College and Seminary ,,Indiana,1868,1482,1.00%,4%,84%,6%,1%,0%,67%,72%,3.60,600,620,20-27,4.0,,"Biology, Chemistry",Biology,2,2,4040,82%,12%,No,Admit,11/1/2025,3/1/2025,$23930,$8782,No,,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$40000
Grinnell College,,Iowa,1646,1660,8.00%,6%,51%,7%,0%,0%,84%,87%,3.94,770,740,30-34,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",3,3,5850,29%,26%,Yes,Decision,11/15/2025,1/15/2025,$51924,$12810,Yes,$18780,,$68000
Grove City College,,Pennsylvania,2971,2327,2.00%,1%,92%,1%,1%,0%,78%,83%,3.70,660,580,23-32,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",3,3,1783,80%,45%,No,Decision,11/1/2025,1/20/2025,$16630,,No,$37655,,
Gustavus Adolphus College,,Minnesota,1951,2190,5.00%,2%,78%,5%,1%,1%,79%,80%,3.60,710,660,24-30,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,4834,68%,18%,Yes,Admit,11/1/2025,5/1/2025,$44900,,No,$35247,,$104000
Hamilton College,,New York,3200,1885,7.00%,4%,64%,9%,1%,0%,90%,94%,3.80,760,750,31-33,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",3,3,5678,24%,35%,Yes,Decision,11/15/2025,1/1/2025,$52250,$13400,Yes,$21491,,$113000
Hanover College,,Indiana,1535,1082,1.00%,5%,76%,3%,1%,1%,69%,71%,3.60,620,640,22-27,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,2,2757,84%,15%,Yes,Admit,11/1/2025,3/1/2025,$36900,$11580,No,$29745,,$67000
Harvard College,,Massachusetts,15000,6701,21.00%,8%,40%,12%,1%,1%,84%,96%,4.00,800,790,32-35,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry, Physics",4,3,39506,5%,83%,Yes,Admit,11/1/2025,1/1/2025,$44990,$16660,Yes,$16702,,$286000
Harvey Mudd College,,California,2700,844,17.00%,4%,34%,18%,1%,1%,86%,96%,4.00,800,770,33-35,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",2,2,4078,15%,36%,Yes,Decision,11/15/2025,1/5/2025,$54347,$17592,Yes,$25412,,$187000
Haverford College,,Pennsylvania,4930,1291,12.00%,7%,57%,10%,0%,0%,87%,93%,3.80,770,760,31-34,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",3,3,4408,20%,39%,Yes,Decision,11/15/2025,1/15/2025,$52278,$15958,Yes,$18932,,$79000
Hillsdale College,,Michigan,1429,1502,,,,,,,71%,85%,3.90,710,730,28-32,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,2080,42%,43%,Yes,Decision,11/1/2025,4/1/2025,$25540,,No,,,
Hobart and William Smith Colleges,,New York,3092,2220,3.00%,6%,75%,5%,1%,1%,75%,81%,3.40,680,680,27-31,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,2,4409,61%,24%,Yes,Decision,11/15/2025,2/1/2025,$52345,$13525,Yes,$34935,,$43000
Hope College,,Michigan,1999,3028,2.00%,3%,83%,8%,0%,0%,67%,80%,3.90,660,660,24-29,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry",4,4,4377,74%,23%,Yes,Priority,11/1/2025,,$32490,$10000,No,$32188,,$51000
Houghton College,,New York,683,1021,4.00%,4%,73%,2%,1%,1%,67%,73%,3.50,650,670,22-29,4.0,,"Biology, Chemistry","Biology, Chemistry",2,1,821,91%,29%,Yes,Priority,10/15/2025,1/15/2025,$31040,$9018,No,,,$58000
Illinois Institute of Technology,,Illinois,11898,2722,14.00%,6%,33%,16%,1%,1%,32%,72%,3.80,730,680,25-31,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,2,4708,54%,19%,Yes,Priority,12/1/2025,8/1/2025,$45214,,No,,,$167000
Illinois Wesleyan University,,Illinois,2873,1642,6.00%,5%,69%,8%,0%,1%,71%,78%,3.70,760,640,24-29,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",3,2,3697,61%,17%,Yes,Admit,11/15/2025,12/15/2025,$45654,$10574,No,$34999,,$89000
Indiana University - Bloomington,,Indiana,3632,33104,5.00%,4%,70%,6%,1%,1%,60%,76%,3.70,680,670,25-31,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,3,41939,76%,25%,Yes,Admit,11/1/2025,2/1/2025,$33522,$10258,No,$28039,,$121000
Iowa State University,,Iowa,2436,29957,3.00%,3%,74%,5%,1%,1%,45%,73%,3.50,680,610,22-28,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,2,19262,89%,35%,No,Priority,12/1/2025,,$21292,$8546,No,$28617,,$130000
Ithaca College,,New York,5708,6021,4.00%,6%,73%,8%,1%,1%,69%,76%,3.60,660,670,25-29,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,3,14152,71%,16%,Yes,,12/1/2025,2/1/2025,$43978,$15562,Yes,$40595,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$38000
James Madison University,,Virginia,3126,19666,5.00%,5%,75%,7%,1%,1%,58%,83%,3.50,620,640,23-28,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",3,2,21099,75%,29%,,Admit,11/1/2025,1/15/2025,$22614,$9822,No,$28407,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$120000
John Brown University,,Arkansas,1480,1608,1.00%,2%,74%,6%,2%,1%,59%,73%,3.70,630,680,24-29,4.0,,"Biology, Chemistry",Biology,2,2,1198,76%,36%,No,Decision,1/1/2025,3/1/2025,$25000,$9040,No,$26651,,$75000
Johns Hopkins University,,Maryland,7556,5421,26.00%,6%,33%,14%,1%,1%,88%,94%,3.90,800,780,33-35,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry, Physics",4,2,26578,12%,40%,Yes,Decision,11/1/2025,1/2/2025,$50410,,Yes,$24702,,$136000
Juniata College,,Pennsylvania,1925,1371,4.00%,3%,75%,5%,1%,0%,80%,84%,3.70,640,650,22-29,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,1,2289,71%,21%,Yes,,12/1/2025,3/15/2025,$44772,$12521,No,$36338,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$65000
Kenyon College,,Ohio,245,1661,3.00%,3%,72%,6%,0%,0%,86%,91%,3.90,730,730,29-33,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry, Physics",4,3,5603,34%,24%,Yes,Priority,11/15/2025,1/15/2025,$51200,,Yes,$26746,,$38000
Knox College,,Illinois,1995,1341,5.00%,8%,47%,15%,0%,1%,72%,76%,3.40,695,670,23-30,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",3,2,3222,72%,15%,Yes,Priority,11/1/2025,1/15/2025,$45783,$9870,No,$30638,,$45000
Lafayette College,,Pennsylvania,6340,2567,4.00%,5%,66%,7%,0%,1%,85%,89%,3.50,730,710,28-31,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,8469,31%,25%,Yes,Priority,11/15/2025,1/15/2025,$52415,$14470,Yes,$29324,,$123000
Lake Forest College ,,Illinois,4316,1483,6.00%,6%,55%,15%,1%,0%,66%,72%,3.70,640,660,24-29,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",2,2,4303,53%,16%,Yes,Priority,11/1/2025,1/15/2025,$46320,$10390,No,,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$80000
Lawrence Technological University,,Michigan ,2731,1978,3.00%,6%,65%,3%,1%,0%,42%,73%,3.50,660,620,21-28,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry",2,2,2173,60%,29%,Yes,,,,$32370,$9950,No,$35810,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$87000
Lawrence University ,,Wisconsin,3035,1441,5.00%,5%,65%,9%,1%,1%,65%,80%,3.50,730,730,25-32,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,2,3612,61%,16%,Yes,,10/31/2025,1/15/2025,$45801,$10032,Yes,$33343,,$37000
Le Moyne College,,New York,5584,2676,3.00%,6%,78%,5%,1%,1%,64%,74%,3.50,620,620,22-27,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",3,4,7429,64%,11%,Yes,Priority,11/15/2025,3/1/2025,$32840,$13400,No,$37337,,$81000
Lebanon Valley College,,Pennsylvania,3022,1658,2.00%,3%,83%,6%,1%,1%,73%,73%,3.70,630,620,22-26,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,3,2833,73%,23%,Yes,Priority,11/15/2025,8/15/2025,$42420,$11860,No,$46346,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$60000
Lehigh University,,Pennsylvania,3832,5057,8.00%,4%,64%,9%,1%,1%,76%,86%,3.82,730,700,29-32,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,13871,25%,35%,Yes,Priority,11/1/2025,1/1/2025,$50320,$13120,No,$34215,,$153000
Lewis and Clark College,,Oregon,4740,2021,6.00%,3%,64%,12%,1%,1%,75%,80%,3.90,680,710,27-31,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,3,6305,71%,12%,Yes,Priority,11/1/2025,1/15/2025,$48628,$11996,Yes,$29913,,$8000
Linfield College,,Oregon ,3042,1503,5.00%,2%,59%,17%,1%,1%,65%,78%,3.60,600,610,20-26,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,3,2325,81%,21%,Yes,Priority,11/1/2025,1/15/2025,$41100,$11770,No,$34320,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$96000
Loyola Marymount University ,,California,7545,6257,10.00%,7%,44%,21%,1%,1%,70%,79%,3.80,680,680,26-31,4.0,,"Biology, Chemistry","Biology, Chemistry",3,3,15381,53%,18%,Yes,Priority,11/1/2025,1/15/2025,$44480,,No,$36698,,$37000
Loyola University Maryland,,Maryland,7657,3903,4.00%,5%,78%,10%,1%,1%,3%,85%,3.50,650,660,25-30,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",3,2,11600,75%,12%,Yes,Priority,12/1/2025,6/1/2025,$46430,,Yes,$34375,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$86000
Loyola University Chicago ,,Illinois,4614,11193,12.00%,6%,100%,16%,1%,1%,69%,77%,3.70,650,660,24-29,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,2,23571,71%,16%,No,,,2/15/2025,$42690,$14480,No,$31750,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$52000
Macalaster College,,Minnesota,5900,2101,7.00%,3%,61%,8%,1%,1%,85%,87%,3.90,740,740,29-32,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",3,3,5900,41%,23%,Yes,Priority,11/15/2025,1/15/2025,$52234,,Yes,$23875,,$46000
Manhattan College,,New York,803,3664,5.00%,5%,55%,22%,1%,1%,65%,71%,3.40,620,620,23-28,4.0,,"Biology, Chemistry","Biology, Chemistry",2,3,7622,75%,13%,Yes,,,11/15/2025,$40004,,No,$46498,,$115000
Marist College,,New York,2557,5404,3.00%,4%,77%,10%,1%,1%,75%,83%,3.30,660,660,24-29,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,2,11376,43%,27%,Yes,,11/15/2025,2/1/2025,$36100,$16650,No,$39584,,$57000
Marquette University,,Wisconsin,6214,8093,7.00%,4%,70%,12%,1%,1%,89%,81%,3.65,650,600,24-29,4.0,,"Biology, Chemistry","Biology, Chemistry",1,2,12957,89%,17%,Yes,Priority,12/1/2025,12/2/2025,$41290,$11890,No,$35421,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$107000
Maryville University of Saint Louis ,,Missouri,5158,3112,3.00%,8%,72%,4%,1%,1%,54%,72%,3.60,600,550,22-27,4.0,,"Biology, Chemistry",Biology,1,2,2241,92%,29%,Yes,,,8/15/2025,$26070,$10088,No,$19266,,$82000
Massachusetts College of Art and Design,,Massachusetts,14171,1813,9.00%,5%,65%,11%,1%,1%,57%,73%,3.50,570,590,21-26,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,2082,81%,25%,Yes,Priority,12/1/2025,2/1/2025,$34400,$13500,No,,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$37000
Massachusetts Institute of Technology,,Massachusetts,16355,4489,27.00%,6%,34%,14%,1%,0%,85%,94%,4.00,800,770,33-35,4.0,,"Biology, Chemistry, Physics, Other",,2,2,20247,7%,76%,No,Priority,11/1/2025,11/2/2025,$51520,$15510,No,$24954,,$311000
Massachusetts Maritime Academy,,Masschusetts,1950,1627,1.00%,1%,88%,3%,1%,0%,58%,75%,3.14,600,600,21-25,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",2,1,838,83%,56%,No,,,,$24600,,No,,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$246000
Messiah College,,Pennsylvania,3495,2670,2.00%,2%,81%,5%,1%,1%,76%,81%,3.80,650,660,22-29,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,2558,77%,34%,No,Priority,11/1/2025,2/1/2025,$34320,$10520,No,$39617,,$45000
Miami University,,Ohio,3199,16816,2.00%,3%,72%,5%,1%,1%,67%,79%,3.80,710,670,26-31,4.0,,"Biology, Chemistry, Physics",,2,2,33255,62%,19%,Yes,,,11/1/2025,$31962,$12725,No,$30015,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$84000
Michigan State University,,Michigan ,3603,38770,5.00%,7%,67%,4%,1%,1%,52%,79%,3.70,670,650,23-28,4.0,,"Biology, Chemistry, Physics",Biology,2,3,36143,72%,32%,Yes,Priority,11/1/2025,1/15/2025,$40643,$9976,No,,,$117000
Middlebury College,,Vermont,210,2531,6.00%,4%,64%,10%,1%,1%,86%,95%,3.93,760,750,30-34,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",4,3,8909,17%,42%,Yes,Priority,11/1/2025,1/1/2025,$50063,,Yes,$18736,,$97000
Misericordia University,,Pennsylvania,1117,2100,1.00%,3%,87%,3%,1%,1%,71%,76%,3.40,595,610,22-26,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry",2,4,1740,79%,32%,No,,,,$31530,$13960,No,$42686,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$81000
Monmouth University (NJ),,New Jersey,2860,4683,3.00%,5%,72%,14%,1%,0%,57%,70%,3.40,590,600,19-26,4.0,,"Biology, Chemistry",Biology,2,3,9261,74%,16%,Yes,Priority,12/1/2025,3/1/2025,$35364,,No,$47794,,$57000
Mount Holyoke College,,Massachusetts,989,2186,10.00%,5%,45%,7%,1%,1%,81%,86%,3.80,750,710,29-33,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",3,3,3446,51%,30%,,Priority,11/15/2025,1/15/2025,$47740,$14060,Yes,$23872,,$51000
Nazareth College,,New York,5885,2175,3.00%,6%,79%,6%,1%,1%,56%,75%,3.40,620,630,22-27,3.0,,"Biology, Chemistry, Physics","Biology, Chemistry",3,3,4494,63%,20%,Yes,Decision,11/15/2025,2/1/2025,$32649,,No,$40567,,$41000
New York University,,New York,28211,26055,20.00%,6%,31%,14%,1%,1%,82%,84%,3.70,760,730,29-33,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",3,3,64007,28%,34%,Yes,Decision,11/1/2025,1/1/2025,$47942,$17664,Yes,$30480,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$49000
North Carolina State University,,North Carolina,3284,22755,6.00%,6%,71%,5%,1%,1%,50%,79%,3.70,710,680,27-31,4.0,,"Biology, Chemistry, Physics",Biology,2,1,26859,51%,34%,Yes,Priority,10/15/2025,1/15/2025,$25879,$11078,No,$21509,,$129000
Northeastern University,,Massachusetts,14345,18109,13.00%,4%,47%,8%,1%,1%,70%,87%,3.80,770,750,32-34,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,3,54209,27%,21%,Yes,Decision,11/1/2025,1/1/2025,$47653,,Yes,,,$122000
Northwestern University,,Illinois,9584,8271,17.00%,6%,46%,13%,1%,0%,84%,94%,4.00,800,760,32-34,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,37259,9%,55%,Yes,,11/1/2025,1/1/2025,$50424,$15489,Yes,$33369,,$162000
Occidental College,,California,8092,2041,14.00%,5%,51%,14%,1%,1%,80%,84%,3.60,720,720,27-32,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",3,2,6775,42%,20%,Yes,Decision,11/15/2025,1/10/2025,$52260,$14968,Yes,$29940,,$59000
Ohio State University - Columbus,,Ohio,3960,23709,7.00%,6%,69%,4%,1%,1%,59%,83%,3.80,750,700,27-31,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",2,2,47782,48%,31%,Yes,Admit,11/1/2025,2/1/2025,$29141,$12998,No,$27400,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$97000
Pacific Lutheran University,,Washington,4292,2676,10.00%,3%,63%,9%,1%,1%,56%,70%,3.70,630,640,21-27,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,3629,75%,23%,Yes,Priority,10/15/2025,1/15/2025,$41696,$10790,No,$32862,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$70000
Parsons the New School for Design,Art,New York,28211,4275,13.00%,4%,24%,10%,1%,1%,58%,75%,3.40,700,630,23-28,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry, Physics",4,4,4825,51%,38%,Yes,Admit,11/1/2025,12/31/2025,$46960,,No,$30659,,
Pennsylvania State University - University Park,,Pennsylvania,9313,40552,6.00%,4%,66%,7%,1%,1%,67%,85%,3.60,680,660,25-30,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,3,56114,50%,28%,No,Priority,11/30/2025,1/31/2025,$32644,$11280,No,$37213,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$51000
Pepperdine University,,California,651,3594,10.00%,4%,51%,14%,1%,1%,72%,80%,3.60,700,690,25-30,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,3,11704,40%,18%,Yes,Admit,11/1/2025,1/15/2025,$50022,,No,$29640,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$85000
Pitzer College,,California,2701,1074,10.00%,6%,47%,15%,1%,1%,83%,88%,3.90,750,740,29-32,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",3,3,3753,16%,43%,Yes,Decision,11/15/2025,1/1/2025,$50430,,Yes,$21569,,$41000
Point Loma Nazarene University,,California,4326,3139,7.00%,2%,53%,26%,1%,1%,64%,77%,3.80,640,650,23-28,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,2,3007,76%,27%,No,Admit,11/15/2025,2/15/2025,$35100,$10450,No,$32649,,$53000
Pomona College,,California,2701,1671,15.00%,36%,36%,16%,1%,1%,92%,97%,3.90,760,750,30-34,4.0,,"Biology, Chemistry","Biology, Chemistry",3,2,9045,8%,58%,Yes,Decision,11/1/2025,1/1/2025,$50720,$16150,Yes,,,$142000
Princeton University,,New Jersey,1600,5246,21.00%,8%,43%,10%,1%,1%,89%,97%,3.90,790,780,32-35,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry",4,2,31056,6%,66%,Yes,Admit,11/1/2025,1/1/2025,$47140,$15610,No,$8908,,$242000
Principia College,,Illinois,576,447,1.00%,2%,73%,2%,1%,1%,71%,87%,3.30,630,660,20-27,4.0,,"Biology, Chemistry, Physics",Biology,2,1,134,91%,70%,Yes,,,6/1/2025,$28770,$11610,Yes,,,
Providence College,,Rhode Island,3736,4233,1.00%,4%,78%,9%,1%,1%,80%,84%,3.40,670,660,26-30,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",3,2,11251,52%,18%,Yes,Admit,11/1/2025,1/15/2025,$46970,,Yes,$39775,,$56000
Purdue University - West Lafayette,,Indiana,3324,30831,8.00%,3%,63%,5%,1%,1%,51%,79%,3.80,710,670,25-31,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",3,2,48912,57%,27%,Yes,,11/1/2025,1/15/2025,$28010,$10030,No,$27530,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$152000
Quinnipiac University,,Connecticut,1859,7249,3.00%,4%,77%,9%,1%,0%,68%,75%,3.50,630,630,23-27,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,2,22071,74%,12%,Yes,Decision,11/1/2025,11/15/2025,$45540,$14990,No,$47217,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$65000
Ramapo College of New Jersey,,New Jersey,1008,5314,8.00%,5%,64%,16%,1%,1%,60%,74%,3.40,610,620,21-26,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,3,6695,57%,24%,Yes,Admit,12/15/2025,2/1/2025,$20774,$12180,No,$10715,,$104000
Reed College,,Oregon,4504,1415,6.00%,2%,60%,10%,1%,1%,65%,80%,3.80,760,740,30-33,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",3,3,5652,36%,21%,Yes,,11/15/2025,1/15/2025,$51850,$13150,Yes,$19627,,$0
Rensselaer Polytechnic Institute,,New York,4799,6314,12.00%,4%,53%,9%,1%,1%,61%,83%,3.80,770,730,28-32,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,3,19505,43%,20%,Yes,Decision,11/1/2025,1/15/2025,$50797,,No,,,$150000
Rhodes College,,Tennessee,2000,1975,6.00%,8%,70%,6%,1%,1%,76%,80%,3.60,690,720,27-32,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,4733,51%,21%,Yes,Admit,11/15/2025,1/15/2025,$46194,$11290,No,$25859,,$79000
Rice University,,Texas,3660,3970,26.00%,7%,35%,15%,1%,1%,83%,93%,3.90,800,780,33-35,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,18063,16%,37%,Yes,Decision,11/1/2025,1/1/2025,$44900,$13850,Yes,$22497,,$167000
Rochester Institute of Technology,,New York,5885,12858,9.00%,5%,66%,7%,1%,1%,28%,70%,3.60,700,680,26-32,4.0,,"Biology, Chemistry",Biology,3,4,20451,57%,24%,Yes,Decision,11/1/2025,1/15/2025,$39506,$12666,No,$38198,,$91000
Rockhurst University,,Missouri,1400,1623,3.00%,5%,72%,9%,1%,0%,65%,75%,3.60,640,590,22-27,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",2,3,3115,73%,19%,Yes,,,,$35800,$9360,No,$23753,,$95000
Rollins College,,Florida,3478,1984,3.00%,4%,60%,16%,1%,0%,68%,75%,3.30,670,680,25-30,4.0,,"Biology, Chemistry",Biology,2,2,5297,64%,16%,Yes,Decision,11/1/2025,2/1/2025,$49760,,No,$32208,,$36000
Rose-Hulman Institute of Technology,,Indiana,1761,2146,5.00%,3%,68%,5%,1%,1%,67%,81%,3.70,760,690,27-32,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",2,2,4473,61%,20%,Yes,Admit,11/1/2025,2/1/2025,$44847,$14061,No,$59113,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$149000
"Rutgers, the State University of New Jersey - New Brunswick",,New Jersey,2976,35296,27.00%,7%,39%,13%,1%,1%,60%,80%,3.73,720,680,24-31,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,38384,58%,28%,No,Admit,11/1/2025,12/1/2025,$30023,,No,,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$125000
Sacred Heart University,,Connecticut,1987,5496,2.00%,5%,74%,11%,1%,1%,67%,72%,3.50,600,600,23-27,4.0,,"Biology, Chemistry, Physics",Biology,2,3,9992,60%,23%,Yes,Admit,12/15/2025,2/15/2025,$39570,$14770,Yes,$40240,,$32000
Saint Joseph's University,,Pennsylvania,11797,5004,2.00%,6%,78%,7%,1%,1%,76%,82%,3.60,650,640,23-28,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,3,8972,77%,16%,Yes,,11/1/2025,2/1/2025,$43020,,No,,,$75000
Saint Louis University,,Missouri,4986,7209,10.00%,6%,69%,6%,1%,1%,68%,77%,3.70,700,690,25-31,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",3,3,13431,64%,19%,Yes,Priority,12/1/2025,2/1/2025,$40726,,No,$33299,,$90000
Saint Mary's College (CA),,California,1840,2762,11.00%,4%,45%,26%,1%,1%,65%,76%,3.60,610,630,22-27,4.0,,"Biology, Chemistry, Physics",Biology,2,2,4676,82%,18%,Yes,Admit,12/15/2025,6/15/2025,$47130,$15370,No,$31203,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$56000
Saint Mary's College (IN),,Indiana,4700,1489,2.00%,2%,78%,11%,1%,1%,71%,77%,3.80,620,630,23-29,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,1830,78%,25%,Yes,Decision,11/15/2025,2/15/2025,$41380,$12580,No,$31036,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$86000
Saint Michael's College,,Vermont,1500,1759,1.00%,2%,83%,5%,1%,1%,71%,78%,3.50,650,660,25-29,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,3,3094,85%,16%,Yes,Admit,11/1/2025,2/1/2025,$45050,$12220,No,$38226,,$51000
